"CRUISE","VESSEL","SPECIMENID","SPECIES_CODE","SEX","LENGTH","WEIGHT"
201001,148,171,21740,2,620,1528
201001,148,172,21740,3,680,1872
201001,148,173,21740,3,640,1862
201001,148,174,21740,3,630,1536
201001,148,175,21740,3,680,2324
201001,148,176,21740,3,640,2114
201001,148,177,21740,3,590,1584
201001,148,178,21740,3,510,1062
201001,148,179,21740,3,610,1358
201001,148,180,21740,3,600,1486
201001,148,181,21740,3,590,1396
201001,148,182,21740,3,580,1278
201001,148,183,21740,3,540,1376
201001,148,184,21740,3,580,1798
201001,148,185,21740,3,560,1252
201001,148,186,21740,3,630,2064
201001,148,187,21740,3,610,1876
201001,148,188,21740,3,590,1822
201001,148,189,21740,3,570,1692
201001,148,190,21740,3,450,586
201001,148,191,21740,1,590,1482
201001,148,192,21740,1,620,1636
201001,148,193,21740,1,480,1080
201001,148,194,21740,1,560,1456
201001,148,195,21740,1,630,1586
201001,148,196,21740,1,450,762
201001,148,197,21740,1,550,1160
201001,148,198,21740,1,580,1402
201001,148,199,21740,1,560,1184
201001,148,200,21740,1,560,1564
201001,148,201,21740,1,650,2068
201001,148,202,21740,1,660,1882
201001,148,203,21740,2,590,1620
201001,148,204,21740,2,610,1812
201001,148,205,21740,2,520,1316
201001,148,206,21740,2,480,854
201001,148,207,21740,2,570,1462
201001,148,208,21740,2,550,1124
201001,148,209,21740,2,540,1372
201001,148,210,21740,2,630,1826
201001,148,211,21740,2,600,1496
201001,148,212,21740,2,580,1984
201001,148,213,21740,2,470,828
201001,148,214,21740,2,440,788
201001,148,215,21740,2,640,1738
201001,148,216,21740,2,610,1488
201001,148,217,21740,1,480,978
201001,148,218,21740,1,420,644
201001,148,219,21740,1,440,746
201001,148,220,21740,1,500,1312
201001,148,221,21740,1,460,726
201001,148,222,21740,1,470,850
201001,148,223,21740,1,460,832
201001,148,224,21740,1,440,722
201001,148,225,21740,1,420,620
201001,148,226,21740,1,450,724
201001,148,227,21740,2,400,422
201001,148,228,21740,2,390,478
201001,148,229,21740,2,420,540
201001,148,230,21740,2,680,1972
201001,148,231,21740,2,680,2326
201001,148,232,21740,2,650,1954
201001,148,233,21740,2,390,410
201001,148,234,21740,2,640,2162
201001,148,235,21740,1,410,538
201001,148,236,21740,1,480,990
201001,148,237,21740,1,620,1880
201001,148,238,21740,1,670,2538
201001,148,239,21740,1,460,750
201001,148,240,21740,2,460,732
201001,148,241,21740,2,630,2228
201001,148,242,21740,2,610,1734
201001,148,243,21740,1,670,1972
201001,148,244,21740,1,620,1738
201001,148,245,21740,1,660,2112
201001,148,246,21740,1,590,1792
201001,148,247,21740,1,570,1560
201001,148,248,21740,1,610,1834
201001,148,249,21740,1,640,1908
201001,148,250,21740,1,600,1642
201001,148,251,21740,1,610,1400
201001,148,252,21740,1,620,1584
201001,148,253,21740,1,700,2406
201001,148,254,21740,1,630,1572
201001,148,255,21740,1,640,1306
201001,148,256,21740,1,630,1850
201001,148,257,21740,1,620,1662
201001,148,258,21740,1,560,1396
201001,148,259,21740,1,640,2290
201001,148,260,21740,1,600,1268
201001,148,261,21740,1,590,1682
201001,148,262,21740,1,640,1576
201001,148,263,21740,1,600,1530
201001,148,264,21740,2,650,1718
201001,148,265,21740,2,630,2162
201001,148,266,21740,2,690,3064
201001,148,267,21740,2,650,1852
201001,148,268,21740,2,640,1248
201001,148,269,21740,2,770,2536
201001,148,270,21740,2,620,1520
201001,148,271,21740,2,620,1522
201001,148,272,21740,2,630,1688
201001,148,273,21740,2,640,1802
201001,148,274,21740,1,620,1968
201001,148,275,21740,1,700,2428
201001,148,276,21740,1,570,1226
201001,148,277,21740,1,580,1212
201001,148,278,21740,1,560,1262
201001,148,279,21740,1,630,1712
201001,148,280,21740,1,650,2508
201001,148,281,21740,2,530,1052
201001,148,282,21740,2,430,558
201001,148,283,21740,2,330,212
201001,148,284,21740,1,490,942
201001,148,285,21740,1,490,808
201001,148,286,21740,2,510,1134
201001,148,287,21740,2,410,508
201001,148,288,21740,1,450,688
201001,148,289,21740,2,380,368
201001,148,290,21740,2,480,972
201001,148,291,21740,2,740,2592
201001,148,292,21740,2,520,1200
201001,148,293,21740,2,660,1874
201001,148,294,21740,2,520,1224
201001,148,295,21740,1,600,1800
201001,148,296,21740,1,570,1660
201001,148,297,21740,1,590,1750
201001,148,298,21740,1,390,508
201001,148,299,21740,1,630,2184
201001,148,300,21740,1,650,2126
201001,148,301,21740,1,610,1574
201001,148,302,21740,1,650,2028
201001,148,303,21740,1,590,1624
201001,148,304,21740,1,630,2054
201001,148,305,21740,1,610,1430
201001,148,306,21740,1,560,1325
201001,148,307,21740,1,620,1768
201001,148,308,21740,2,690,2544
201001,148,309,21740,2,670,1616
201001,148,310,21740,2,640,2134
201001,148,311,21740,1,580,1412
201001,148,312,21740,1,620,1926
201001,148,313,21740,1,630,2056
201001,148,314,21740,1,630,1964
201001,148,315,21740,1,580,1610
201001,148,316,21740,1,450,768
201001,148,317,21740,1,630,2174
201001,148,318,21740,1,720,2984
201001,148,319,21740,1,580,1708
201001,148,320,21740,1,610,1670
201001,148,321,21740,2,660,1752
201001,148,322,21740,2,660,1710
201001,148,323,21740,2,630,1784
201001,148,324,21740,2,610,1754
201001,148,325,21740,2,660,2008
201001,148,326,21740,2,680,2664
201001,148,327,21740,2,670,2358
201001,148,328,21740,2,630,2152
201001,148,329,21740,2,680,2094
201001,148,330,21740,2,590,1508
201001,148,331,21740,1,620,2042
201001,148,332,21740,1,620,1794
201001,148,333,21740,1,630,1924
201001,148,334,21740,1,670,2102
201001,148,335,21740,1,660,1970
201001,148,336,21740,1,610,2082
201001,148,337,21740,1,590,1530
201001,148,338,21740,1,680,2488
201001,148,339,21740,1,620,1672
201001,148,340,21740,1,560,1416
201001,148,341,21740,2,530,1202
201001,148,342,21740,2,590,1450
201001,148,343,21740,2,480,934
201001,148,344,21740,2,720,2994
201001,148,345,21740,2,480,902
201001,148,346,21740,2,490,796
201001,148,347,21740,1,470,800
201001,148,348,21740,1,430,626
201001,148,349,21740,1,490,1008
201001,148,350,21740,1,360,350
201001,148,351,21740,2,480,956
201001,148,352,21740,2,550,1366
201001,148,353,21740,2,450,726
201001,148,354,21740,1,590,1580
201001,148,355,21740,1,530,1230
201001,148,356,21740,1,560,1032
201001,148,357,21740,1,490,996
201001,148,358,21740,1,530,1234
201001,148,359,21740,1,490,842
201001,148,360,21740,1,510,1024
201001,148,361,21740,2,600,1292
201001,148,362,21740,2,630,1390
201001,148,363,21740,2,450,580
201001,148,364,21740,2,470,792
201001,148,365,21740,2,470,866
201001,148,366,21740,1,500,908
201001,148,367,21740,1,480,896
201001,148,368,21740,1,620,1186
201001,148,369,21740,1,440,728
201001,148,370,21740,1,460,892
201001,148,371,21740,2,570,1382
201001,148,372,21740,2,610,1620
201001,148,373,21740,2,530,1156
201001,148,374,21740,2,500,870
201001,148,375,21740,2,590,1312
201001,148,376,21740,2,550,1182
201001,148,377,21740,1,460,682
201001,148,378,21740,1,500,922
201001,148,379,21740,1,670,1954
201001,148,380,21740,1,540,1012
201001,148,381,21740,2,470,824
201001,148,382,21740,2,560,1788
201001,148,383,21740,2,490,834
201001,148,384,21740,2,450,666
201001,148,385,21740,2,450,680
201001,148,386,21740,2,470,744
201001,148,387,21740,1,670,1674
201001,148,388,21740,1,560,1296
201001,148,389,21740,1,460,666
201001,148,390,21740,1,490,728
201001,148,391,21740,1,480,1012
201001,148,392,21740,1,480,828
201001,148,393,21740,1,530,1182
201001,148,394,21740,2,480,842
201001,148,395,21740,2,580,1464
201001,148,396,21740,2,560,1094
201001,148,397,21740,2,620,1740
201001,148,398,21740,2,600,1236
201001,148,399,21740,2,570,1300
201001,148,400,21740,2,610,1730
201001,148,401,21740,2,490,952
201001,148,402,21740,2,470,746
201001,148,403,21740,2,510,980
201001,148,404,21740,2,510,1282
201001,148,405,21740,2,480,970
201001,148,406,21740,2,510,1008
201001,148,407,21740,2,470,808
201001,148,408,21740,1,500,956
201001,148,409,21740,1,500,988
201001,148,410,21740,1,480,882
201001,148,411,21740,1,410,496
201001,148,412,21740,1,470,734
201001,148,413,21740,1,640,1484
201001,148,414,21740,1,410,496
201001,148,415,21740,1,400,512
201001,148,416,21740,1,390,480
201001,148,417,21740,2,460,784
201001,148,418,21740,2,470,870
201001,148,419,21740,2,460,776
201001,148,420,21740,2,480,768
201001,148,421,21740,2,450,688
201001,148,422,21740,2,450,640
201001,148,423,21740,2,460,736
201001,148,424,21740,2,450,662
201001,148,425,21740,2,480,848
201001,148,426,21740,1,380,378
201001,148,427,21740,1,450,628
201001,148,428,21740,1,460,756
201001,148,429,21740,1,450,652
201001,148,430,21740,1,430,572
201001,148,431,21740,1,450,586
201001,148,432,21740,1,410,510
201001,148,433,21740,1,440,632
201001,148,434,21740,1,470,802
201001,148,435,21740,1,310,234
201001,148,436,21740,2,540,1356
201001,148,437,21740,2,520,1218
201001,148,438,21740,2,480,834
201001,148,439,21740,2,420,596
201001,148,440,21740,2,500,1072
201001,148,441,21740,1,440,638
201001,148,442,21740,1,580,1268
201001,148,443,21740,1,520,1102
201001,148,444,21740,1,540,1374
201001,148,445,21740,2,480,964
201001,148,446,21740,2,530,1280
201001,148,447,21740,2,590,1720
201001,148,448,21740,2,460,774
201001,148,449,21740,2,520,1196
201001,148,450,21740,2,520,1082
201001,148,451,21740,2,690,2436
201001,148,452,21740,2,500,940
201001,148,453,21740,2,680,2158
201001,148,454,21740,2,640,1470
201001,148,455,21740,2,710,2692
201001,148,456,21740,2,670,1982
201001,148,457,21740,2,670,1950
201001,148,458,21740,1,630,1618
201001,148,459,21740,1,640,2064
201001,148,460,21740,1,660,2160
201001,148,461,21740,1,380,374
201001,148,462,21740,1,460,726
201001,148,463,21740,1,370,386
201001,148,464,21740,1,370,384
201001,148,465,21740,1,440,700
201001,148,466,21740,1,390,454
201001,148,467,21740,1,410,504
201001,148,468,21740,2,400,514
201001,148,469,21740,2,410,570
201001,148,470,21740,2,440,564
201001,148,471,21740,1,200,58
201001,148,472,21740,1,190,54
201001,148,473,21740,1,200,54
201001,148,474,21740,1,190,52
201001,148,475,21740,1,180,46
201001,148,476,21740,1,190,52
201001,148,477,21740,1,200,56
201001,148,478,21740,1,170,38
201001,148,479,21740,1,180,44
201001,148,480,21740,1,170,38
201001,148,481,21740,1,210,62
201001,148,482,21740,2,190,54
201001,148,483,21740,2,180,42
201001,148,484,21740,2,190,48
201001,148,485,21740,2,190,54
201001,148,486,21740,2,190,50
201001,148,487,21740,2,200,60
201001,148,488,21740,2,160,32
201001,148,489,21740,2,180,38
201001,148,490,21740,2,210,62
201001,148,491,21740,1,190,54
201001,148,492,21740,1,200,62
201001,148,493,21740,1,180,42
201001,148,494,21740,1,190,58
201001,148,495,21740,1,160,34
201001,148,496,21740,2,260,132
201001,148,497,21740,2,190,56
201001,148,498,21740,2,170,44
201001,148,499,21740,2,190,52
201001,148,500,21740,2,170,34
201001,148,501,21740,1,180,40
201001,148,502,21740,1,190,44
201001,148,503,21740,1,180,42
201001,148,504,21740,1,170,38
201001,148,505,21740,2,190,46
201001,148,506,21740,2,150,22
201001,148,507,21740,2,190,46
201001,148,508,21740,2,180,36
201001,148,509,21740,2,180,38
201001,148,510,21740,2,180,40
201001,148,511,21740,1,440,652
201001,148,512,21740,1,380,388
201001,148,513,21740,1,400,532
201001,148,514,21740,1,440,694
201001,148,515,21740,2,460,762
201001,148,516,21740,2,470,700
201001,148,517,21740,2,480,882
201001,148,518,21740,2,380,466
201001,148,519,21740,2,450,690
201001,148,520,21740,2,470,832
201001,148,521,21740,2,530,1058
201001,148,522,21740,2,470,798
201001,148,523,21740,2,590,1456
201001,148,524,21740,2,390,500
201001,148,525,21740,2,450,628
201001,148,526,21740,2,250,108
201001,148,527,21740,2,380,440
201001,148,528,21740,1,510,972
201001,148,529,21740,1,380,436
201001,148,530,21740,1,440,676
201001,148,531,21740,1,370,388
201001,148,532,21740,1,510,1122
201001,148,533,21740,1,370,340
201001,148,534,21740,1,470,808
201001,148,535,21740,1,440,636
201001,148,536,21740,2,490,936
201001,148,537,21740,2,550,1348
201001,148,538,21740,2,390,502
201001,148,539,21740,2,380,408
201001,148,540,21740,2,340,452
201001,148,541,21740,1,330,282
201001,148,542,21740,1,440,726
201001,148,543,21740,1,420,534
201001,148,544,21740,2,550,1222
201001,148,545,21740,2,400,580
201001,148,546,21740,2,560,1356
201001,148,547,21740,2,410,558
201001,148,548,21740,2,450,720
201001,148,549,21740,2,380,424
201001,148,550,21740,2,280,138
201001,148,551,21740,2,580,402
201001,148,552,21740,2,610,1534
201001,148,553,21740,2,590,1602
201001,148,554,21740,2,560,1218
201001,148,555,21740,2,590,1732
201001,148,556,21740,2,600,1442
201001,148,557,21740,1,590,1268
201001,148,558,21740,1,550,1294
201001,148,559,21740,1,520,1354
201001,148,560,21740,1,530,1184
201001,148,561,21740,1,520,1214
201001,148,562,21740,1,500,1002
201001,148,563,21740,1,450,684
201001,148,564,21740,1,450,822
201001,148,565,21740,2,480,854
201001,148,566,21740,2,470,938
201001,148,567,21740,2,470,820
201001,148,568,21740,2,460,848
201001,148,569,21740,2,480,924
201001,148,570,21740,2,440,724
201001,148,571,21740,2,380,378
201001,148,572,21740,2,460,726
201001,148,573,21740,2,610,1550
201001,148,574,21740,2,460,878
201001,148,575,21740,2,410,560
201001,148,576,21740,2,380,468
201001,148,577,21740,1,560,1250
201001,148,578,21740,1,430,608
201001,148,579,21740,1,430,612
201001,148,580,21740,1,390,462
201001,148,581,21740,2,610,1690
201001,148,582,21740,2,570,1250
201001,148,583,21740,2,560,1236
201001,148,584,21740,2,610,1606
201001,148,585,21740,2,530,1120
201001,148,586,21740,2,570,1340
201001,148,587,21740,2,630,1498
201001,148,588,21740,1,460,874
201001,148,589,21740,1,530,1162
201001,148,590,21740,1,500,1002
201001,148,591,21740,2,450,720
201001,148,592,21740,2,440,672
201001,148,593,21740,2,380,424
201001,148,594,21740,2,380,412
201001,148,595,21740,2,600,1296
201001,148,596,21740,1,620,1736
201001,148,597,21740,1,400,458
201001,148,598,21740,1,400,546
201001,148,599,21740,1,390,478
201001,148,600,21740,1,410,506
201001,148,601,21740,1,520,1020
201001,148,602,21740,1,470,852
201001,148,603,21740,1,420,610
201001,148,604,21740,1,450,778
201001,148,605,21740,1,450,678
201001,148,606,21740,1,400,486
201001,148,607,21740,2,530,1128
201001,148,608,21740,2,440,646
201001,148,609,21740,2,480,852
201001,148,610,21740,2,410,550
