year,index,obs,pred,obs_std,pearson,logpearson
1982,BTS,3871.9,4465.71,281.285,-2.11105,-1.96662
1983,BTS,8929.33,7023.82,576.034,3.30798,3.72473
1984,BTS,6594.17,7431.13,440.671,-1.8993,-1.79008
1985,BTS,7522.25,9503.16,561.621,-3.52713,-3.13528
1986,BTS,7242.32,9127.94,526.89,-3.57877,-3.18487
1987,BTS,7597.54,9387.88,598.325,-2.99225,-2.69099
1988,BTS,11808.3,9239.85,967.753,2.65401,2.9978
1989,BTS,9944.25,8963.05,697.502,1.40673,1.48288
1990,BTS,11590.6,8187.61,992.306,3.42939,4.06726
1991,BTS,7139.78,7859.67,488.285,-1.47433,-1.40629
1992,BTS,6657.66,6113.32,460.64,1.18168,1.23427
1993,BTS,7860.15,5883.78,500.857,3.94596,4.5495
1994,BTS,7106.74,6374.07,465.633,1.57349,1.66243
1995,BTS,6614.41,5770.6,549.973,1.53426,1.64417
1996,BTS,3953.02,5394.33,241.86,-5.95925,-5.08565
1997,BTS,4381.29,4904.7,276.848,-1.8906,-1.78771
1998,BTS,3426.32,5648.75,209.927,-10.5867,-8.16757
1999,BTS,5620.75,5844.7,402.759,-0.556057,-0.545963
2000,BTS,7251.14,6247.24,511.173,1.9639,2.11649
2001,BTS,6079.54,7021.29,399.932,-2.35477,-2.19164
2002,BTS,6755.61,6530.7,394.635,0.569918,0.580115
2003,BTS,11270.3,7069,773.694,5.43021,6.80278
2004,BTS,5492.31,6917.81,346.731,-4.11127,-3.65879
2005,BTS,6986.22,6185.06,466.103,1.71885,1.82768
2006,BTS,4193.39,5706.06,272.03,-5.56066,-4.75315
2007,BTS,6782.91,5637.23,543.58,2.10765,2.31233
2008,BTS,4294.71,4287.66,335.692,0.0210114,0.0210607
2009,BTS,2825.22,4175.37,228.882,-5.89888,-4.8295
2010,BTS,5286.57,4409.31,413.216,2.12301,2.32498
2011,BTS,4509.68,4662.68,321.01,-0.476592,-0.469279
2012,BTS,5158.55,5382.27,334.318,-0.669163,-0.655747
2013,BTS,6739.94,7217.7,437.498,-1.09201,-1.05616
2014,BTS,11648.3,8187.81,654.674,5.28581,6.27703
2015,BTS,11235.5,7910.23,673.14,4.93988,5.86247
2016,BTS,8282.28,7696.73,575.632,1.01722,1.05624
2017,BTS,8873.86,7739.61,452.647,2.50582,2.68282
2018,BTS,4258.43,7054.68,289.332,-9.66452,-7.43815
2019,BTS,9288.15,7830.98,466.432,3.12408,3.40037
2021,BTS,4885.53,5746.9,261.259,-3.29699,-3.03871
2022,BTS,6531.97,5660.16,383.483,2.27339,2.44222
2023,BTS,4934.26,5594.66,283.034,-2.33331,-2.19163
1994,ATS,3628.93,4072.7,685.888,-0.647001,-0.615792
1996,ATS,2944.77,3131.74,437.88,-0.426985,-0.416252
1997,ATS,3590.84,2915.94,485.95,1.38882,1.54541
1999,ATS,4141.37,3346.77,846.424,0.938769,1.05306
2000,ATS,3625.86,3222.57,466.543,0.864419,0.920158
2002,ATS,4305.86,3751.22,535.679,1.03541,1.11271
2004,ATS,4009.94,4052.87,579.137,-0.0741341,-0.0741222
2006,ATS,1872.86,2302.05,293.237,-1.46363,-1.32584
2007,ATS,2277.94,2158.22,399.673,0.29956,0.310067
2008,ATS,1405.59,1889.25,365.99,-1.3215,-1.1546
2009,ATS,1324.78,2321.58,425.211,-2.34425,-1.79158
2010,ATS,2642.67,3040.95,661.556,-0.602023,-0.569386
2012,ATS,2295.95,3504.21,365.48,-3.30594,-2.67284
2014,ATS,4729.83,3732.45,761.95,1.30899,1.47957
2016,ATS,4828.79,4579.63,422.061,0.590347,0.607278
2018,ATS,2499.4,3315.97,460.779,-1.77215,-1.54635
2020,ATS,3617,3703.57,1625.43,-0.0532619,-0.0551503
2022,ATS,3834.04,3350.98,1228.11,0.393339,0.430896
1982,BTS_Age_1,1.13052e+09,9.42455e+08,4.52209e+08,0.415884,0.472276
1983,BTS_Age_1,4.51232e+08,2.63318e+09,1.80493e+08,-12.0888,-4.57872
1984,BTS_Age_1,3.40018e+08,7.69808e+08,1.36007e+08,-3.16006,-2.12105
1985,BTS_Age_1,2.82507e+09,2.17587e+09,1.13003e+09,0.574502,0.677752
1986,BTS_Age_1,2.25575e+09,9.64509e+08,9.02299e+08,1.43105,2.20535
1987,BTS_Age_1,3.04844e+08,4.59346e+08,1.21937e+08,-1.26706,-1.06425
1988,BTS_Age_1,7.53773e+08,3.66589e+08,3.01509e+08,1.28415,1.8711
1989,BTS_Age_1,7.92123e+08,6.67763e+08,3.16849e+08,0.392489,0.443302
1990,BTS_Age_1,1.7137e+09,2.47135e+09,6.85481e+08,-1.10528,-0.950306
1991,BTS_Age_1,3.10167e+09,1.27673e+09,1.24067e+09,1.47093,2.30404
1992,BTS_Age_1,1.39424e+09,1.0407e+09,5.57698e+08,0.63394,0.759141
1993,BTS_Age_1,1.63668e+09,2.24456e+09,6.5467e+08,-0.928534,-0.81983
1994,BTS_Age_1,1.09122e+09,8.4744e+08,4.3649e+08,0.558512,0.656285
1995,BTS_Age_1,1.46465e+09,6.23875e+08,5.85861e+08,1.43512,2.21523
1996,BTS_Age_1,1.49662e+09,1.31477e+09,5.98649e+08,0.303777,0.336277
1997,BTS_Age_1,2.53485e+09,1.81107e+09,1.01394e+09,0.713828,0.872714
1998,BTS_Age_1,6.60478e+08,8.63523e+08,2.64191e+08,-0.768552,-0.695792
1999,BTS_Age_1,1.06412e+09,9.03186e+08,4.25649e+08,0.378097,0.425635
2000,BTS_Age_1,1.09021e+09,1.37204e+09,4.36082e+08,-0.646295,-0.596841
2001,BTS_Age_1,1.67477e+09,1.86809e+09,6.69906e+08,-0.28858,-0.283558
2002,BTS_Age_1,7.60554e+08,1.27769e+09,3.04222e+08,-1.69988,-1.34656
2003,BTS_Age_1,4.12048e+08,7.92944e+08,1.64819e+08,-2.31099,-1.69917
2004,BTS_Age_1,3.67367e+08,3.73044e+08,1.46947e+08,-0.0386323,-0.0398043
2005,BTS_Age_1,3.83362e+08,2.8585e+08,1.53345e+08,0.635905,0.761876
2006,BTS_Age_1,8.6577e+08,7.23324e+08,3.46308e+08,0.411327,0.466607
2007,BTS_Age_1,2.33827e+09,1.4443e+09,9.35308e+08,0.955807,1.25058
2008,BTS_Age_1,5.05393e+08,8.08926e+08,2.02157e+08,-1.50147,-1.22094
2009,BTS_Age_1,7.92628e+08,2.88472e+09,3.17051e+08,-6.59858,-3.35319
2010,BTS_Age_1,5.47848e+08,1.3178e+09,2.19139e+08,-3.51355,-2.27831
2011,BTS_Age_1,1.11303e+09,8.43236e+08,4.45213e+08,0.605993,0.720554
2012,BTS_Age_1,1.17312e+09,7.28048e+08,4.6925e+08,0.948484,1.2383
2013,BTS_Age_1,1.2044e+09,2.3352e+09,4.81759e+08,-2.34723,-1.71866
2014,BTS_Age_1,2.23779e+09,2.61946e+09,8.95117e+08,-0.426393,-0.408769
2015,BTS_Age_1,1.16698e+09,1.10428e+09,4.66791e+08,0.134319,0.143347
2016,BTS_Age_1,7.33826e+08,4.37175e+08,2.93531e+08,1.01063,1.34441
2017,BTS_Age_1,8.50143e+08,4.8416e+08,3.40057e+08,1.07624,1.46135
2018,BTS_Age_1,1.02718e+09,8.58357e+08,4.10871e+08,0.410883,0.466055
2019,BTS_Age_1,2.54529e+09,3.09138e+09,1.01811e+09,-0.536375,-0.504535
2021,BTS_Age_1,9.05809e+08,5.54223e+08,3.62324e+08,0.970365,1.27517
2022,BTS_Age_1,9.04492e+08,5.81978e+08,3.61797e+08,0.891423,1.14455
2023,BTS_Age_1,1.38445e+09,1.2761e+09,5.53781e+08,0.195662,0.211542
1994,ATS_Age_1,1140.09,625.664,456.034,1.12803,1.55753
1996,ATS_Age_1,1800.25,970.691,720.102,1.15201,1.6033
1997,ATS_Age_1,13226.8,1337.11,5290.72,2.24727,5.94864
1999,ATS_Age_1,607.204,666.821,242.881,-0.24546,-0.243107
2000,ATS_Age_1,460.366,1012.98,184.147,-3.00093,-2.04704
2002,ATS_Age_1,796.397,943.321,318.559,-0.461214,-0.439474
2004,ATS_Age_1,83.0545,275.418,33.2218,-5.79027,-3.1117
2006,ATS_Age_1,524.711,534.029,209.884,-0.0443973,-0.0456922
2007,ATS_Age_1,5775.29,1066.32,2310.12,2.03841,4.3851
2008,ATS_Age_1,70.8699,597.229,28.3479,-18.5678,-5.53261
2009,ATS_Age_1,5196.79,2129.78,2078.71,1.47543,2.31541
2010,ATS_Age_1,2567.93,972.934,1027.17,1.5528,2.51923
2012,ATS_Age_1,177.346,537.517,70.9385,-5.07723,-2.87826
2014,ATS_Age_1,4750.83,1933.95,1900.33,1.48231,2.3329
2016,ATS_Age_1,173.752,322.766,69.5009,-2.14406,-1.60751
2018,ATS_Age_1,449.956,633.724,179.982,-1.02103,-0.888932
2020,ATS_Age_1,350,513.907,140,-1.17077,-0.997032
2022,ATS_Age_1,141.56,429.674,56.624,-5.08819,-2.88201
2006,AVO,1.74148,1.65987,0.407974,0.200029,0.207634
2007,AVO,2.00191,1.45253,0.795438,0.690666,0.837871
2008,AVO,0.991543,1.41528,0.292865,-1.44687,-1.23033
2009,AVO,0.6951,1.66243,0.390096,-2.47973,-1.66644
2010,AVO,1.9218,2.48382,0.579193,-0.970348,-0.87004
2011,AVO,1.70382,2.48184,0.447678,-1.7379,-1.45573
2012,AVO,1.5206,2.42375,0.371938,-2.42823,-1.93404
2013,AVO,2.17763,2.53261,0.390116,-0.909924,-0.849649
2014,AVO,3.0769,2.95654,0.580246,0.207427,0.213455
2015,AVO,3.5927,2.84682,0.406257,1.83598,2.06443
2016,AVO,2.8319,3.37086,0.379093,-1.42172,-1.30727
2017,AVO,2.263,2.6824,0.317389,-1.32141,-1.21818
2018,AVO,2.0841,2.35953,0.254961,-1.08028,-1.0184
2019,AVO,2.8292,2.03521,0.635395,1.24959,1.48491
2021,AVO,2.4101,2.20687,0.529929,0.3835,0.405416
2022,AVO,2.9031,2.10482,0.45478,1.75531,2.06512
2023,AVO,2.481,2.02204,0.335349,1.36859,1.52021
